ZONA METROPOLITANA,CONTROL,CICLO,PRIMER INGRESO
ZM DE HERMOSILLO,PRIVADO,2021,5090
ZM DE HERMOSILLO,PRIVADO,2022,5352
ZM DE HERMOSILLO,PRIVADO,2023,4859
ZM DE HERMOSILLO,PRIVADO,2024,5240
ZM DE HERMOSILLO,PUBLICO,2014,10761
ZM DE HERMOSILLO,PUBLICO,2015,10648
ZM DE HERMOSILLO,PUBLICO,2016,11326
ZM DE HERMOSILLO,PUBLICO,2017,11703
ZM DE HERMOSILLO,PUBLICO,2018,11794
ZM DE HERMOSILLO,PUBLICO,2019,13276
ZM DE HERMOSILLO,PUBLICO,2020,12369
ZM DE HERMOSILLO,PUBLICO,2021,10980
ZM DE HERMOSILLO,PUBLICO,2022,12331
ZM DE HERMOSILLO,PUBLICO,2023,12934
ZM DE HERMOSILLO,PUBLICO,2024,13107
ZM DE HIDALGO DEL PARRAL,PRIVADO,2014,174
ZM DE HIDALGO DEL PARRAL,PRIVADO,2015,122
ZM DE HIDALGO DEL PARRAL,PRIVADO,2016,176
ZM DE HIDALGO DEL PARRAL,PRIVADO,2017,152
ZM DE HIDALGO DEL PARRAL,PRIVADO,2018,106
ZM DE HIDALGO DEL PARRAL,PRIVADO,2019,137
ZM DE HIDALGO DEL PARRAL,PRIVADO,2020,115
ZM DE HIDALGO DEL PARRAL,PRIVADO,2021,120
ZM DE HIDALGO DEL PARRAL,PRIVADO,2022,98
ZM DE HIDALGO DEL PARRAL,PRIVADO,2023,104
ZM DE HIDALGO DEL PARRAL,PRIVADO,2024,107
ZM DE HIDALGO DEL PARRAL,PUBLICO,2014,1302
ZM DE HIDALGO DEL PARRAL,PUBLICO,2015,1776
ZM DE HIDALGO DEL PARRAL,PUBLICO,2016,1964
ZM DE HIDALGO DEL PARRAL,PUBLICO,2017,1766
ZM DE HIDALGO DEL PARRAL,PUBLICO,2018,1933
ZM DE HIDALGO DEL PARRAL,PUBLICO,2019,1984
ZM DE HIDALGO DEL PARRAL,PUBLICO,2020,1644
ZM DE HIDALGO DEL PARRAL,PUBLICO,2021,1767
ZM DE HIDALGO DEL PARRAL,PUBLICO,2022,1761
ZM DE HIDALGO DEL PARRAL,PUBLICO,2023,1589
ZM DE HIDALGO DEL PARRAL,PUBLICO,2024,1562
ZM DE JUAREZ,PRIVADO,2014,1353
ZM DE JUAREZ,PRIVADO,2015,971
ZM DE JUAREZ,PRIVADO,2016,2307
ZM DE JUAREZ,PRIVADO,2017,1650
ZM DE JUAREZ,PRIVADO,2018,2750
ZM DE JUAREZ,PRIVADO,2019,2618
ZM DE JUAREZ,PRIVADO,2020,1743
ZM DE JUAREZ,PRIVADO,2021,2285
ZM DE JUAREZ,PRIVADO,2022,2871
ZM DE JUAREZ,PRIVADO,2023,1798
ZM DE JUAREZ,PRIVADO,2024,3118
ZM DE JUAREZ,PUBLICO,2014,9841
ZM DE JUAREZ,PUBLICO,2015,10715
ZM DE JUAREZ,PUBLICO,2016,10338
ZM DE JUAREZ,PUBLICO,2017,10159
ZM DE JUAREZ,PUBLICO,2018,10509
ZM DE JUAREZ,PUBLICO,2019,10381
ZM DE JUAREZ,PUBLICO,2020,10484
ZM DE JUAREZ,PUBLICO,2021,9801
ZM DE JUAREZ,PUBLICO,2022,10483
ZM DE JUAREZ,PUBLICO,2023,10383
ZM DE JUAREZ,PUBLICO,2024,9982
ZM DE LA LAGUNA,PRIVADO,2014,3631
ZM DE LA LAGUNA,PRIVADO,2015,4120
ZM DE LA LAGUNA,PRIVADO,2016,4005
ZM DE LA LAGUNA,PRIVADO,2017,4458
ZM DE LA LAGUNA,PRIVADO,2018,5202
ZM DE LA LAGUNA,PRIVADO,2019,5270
ZM DE LA LAGUNA,PRIVADO,2020,5501
ZM DE LA LAGUNA,PRIVADO,2021,6129
ZM DE LA LAGUNA,PRIVADO,2022,6257
ZM DE LA LAGUNA,PRIVADO,2023,6514
ZM DE LA LAGUNA,PRIVADO,2024,6645
ZM DE LA LAGUNA,PUBLICO,2014,7691
ZM DE LA LAGUNA,PUBLICO,2015,7819
ZM DE LA LAGUNA,PUBLICO,2016,8025
ZM DE LA LAGUNA,PUBLICO,2017,8183
ZM DE LA LAGUNA,PUBLICO,2018,8498
ZM DE LA LAGUNA,PUBLICO,2019,9313
ZM DE LA LAGUNA,PUBLICO,2020,9329
ZM DE LA LAGUNA,PUBLICO,2021,8599
ZM DE LA LAGUNA,PUBLICO,2022,8235
ZM DE LA LAGUNA,PUBLICO,2023,8587
ZM DE LA LAGUNA,PUBLICO,2024,8596
ZM DE LA PAZ,PRIVADO,2014,906
ZM DE LA PAZ,PRIVADO,2015,872
ZM DE LA PAZ,PRIVADO,2016,866
ZM DE LA PAZ,PRIVADO,2017,808
ZM DE LA PAZ,PRIVADO,2018,1054
ZM DE LA PAZ,PRIVADO,2019,1062
ZM DE LA PAZ,PRIVADO,2020,859
ZM DE LA PAZ,PRIVADO,2021,803
ZM DE LA PAZ,PRIVADO,2022,1072
ZM DE LA PAZ,PRIVADO,2023,936
ZM DE LA PAZ,PRIVADO,2024,1170
ZM DE LA PAZ,PUBLICO,2014,2645
ZM DE LA PAZ,PUBLICO,2015,2743
ZM DE LA PAZ,PUBLICO,2016,2779
ZM DE LA PAZ,PUBLICO,2017,3503
ZM DE LA PAZ,PUBLICO,2018,3461
ZM DE LA PAZ,PUBLICO,2019,3826
ZM DE LA PAZ,PUBLICO,2020,3214
ZM DE LA PAZ,PUBLICO,2021,2993
ZM DE LA PAZ,PUBLICO,2022,3314
ZM DE LA PAZ,PUBLICO,2023,3091
ZM DE LA PAZ,PUBLICO,2024,3405
ZM DE LEON,PRIVADO,2014,8348
ZM DE LEON,PRIVADO,2015,12385
ZM DE LEON,PRIVADO,2016,9035
ZM DE LEON,PRIVADO,2017,9667
ZM DE LEON,PRIVADO,2018,12027
ZM DE LEON,PRIVADO,2019,11043
ZM DE LEON,PRIVADO,2020,8580
ZM DE LEON,PRIVADO,2021,9820
ZM DE LEON,PRIVADO,2022,13864
ZM DE LEON,PRIVADO,2023,14716
ZM DE LEON,PRIVADO,2024,13434
ZM DE LEON,PUBLICO,2014,5325
ZM DE LEON,PUBLICO,2015,4349
ZM DE LEON,PUBLICO,2016,5456
ZM DE LEON,PUBLICO,2017,5549
ZM DE LEON,PUBLICO,2018,5620
ZM DE LEON,PUBLICO,2019,7091
ZM DE LEON,PUBLICO,2020,6690
ZM DE LEON,PUBLICO,2021,6207
ZM DE LEON,PUBLICO,2022,5978
ZM DE LEON,PUBLICO,2023,6185
ZM DE LEON,PUBLICO,2024,5801
ZM DE MATAMOROS,PRIVADO,2014,1662
ZM DE MATAMOROS,PRIVADO,2015,2012
ZM DE MATAMOROS,PRIVADO,2016,2202
ZM DE MATAMOROS,PRIVADO,2017,2113
ZM DE MATAMOROS,PRIVADO,2018,2451
ZM DE MATAMOROS,PRIVADO,2019,3900
ZM DE MATAMOROS,PRIVADO,2020,3301
ZM DE MATAMOROS,PRIVADO,2021,3540
ZM DE MATAMOROS,PRIVADO,2022,3610
ZM DE MATAMOROS,PRIVADO,2023,3432
ZM DE MATAMOROS,PRIVADO,2024,3099
ZM DE MATAMOROS,PUBLICO,2014,2737
ZM DE MATAMOROS,PUBLICO,2015,2977
ZM DE MATAMOROS,PUBLICO,2016,2884
ZM DE MATAMOROS,PUBLICO,2017,3171
ZM DE MATAMOROS,PUBLICO,2018,3208
ZM DE MATAMOROS,PUBLICO,2019,3164
ZM DE MATAMOROS,PUBLICO,2020,2776
ZM DE MATAMOROS,PUBLICO,2021,2762
ZM DE MATAMOROS,PUBLICO,2022,2737
ZM DE MATAMOROS,PUBLICO,2023,3092
ZM DE MATAMOROS,PUBLICO,2024,3263
ZM DE MAZATLAN,PRIVADO,2014,1330
ZM DE MAZATLAN,PRIVADO,2015,1179
ZM DE MAZATLAN,PRIVADO,2016,1424
ZM DE MAZATLAN,PRIVADO,2017,952
ZM DE MAZATLAN,PRIVADO,2018,1215
ZM DE MAZATLAN,PRIVADO,2019,1506
ZM DE MAZATLAN,PRIVADO,2020,1313
ZM DE MAZATLAN,PRIVADO,2021,1243
ZM DE MAZATLAN,PRIVADO,2022,1390
ZM DE MAZATLAN,PRIVADO,2023,1352
ZM DE MAZATLAN,PRIVADO,2024,1446
ZM DE MAZATLAN,PUBLICO,2014,5003
ZM DE MAZATLAN,PUBLICO,2015,5544
ZM DE MAZATLAN,PUBLICO,2016,5593
ZM DE MAZATLAN,PUBLICO,2017,6316
ZM DE MAZATLAN,PUBLICO,2018,6936
ZM DE MAZATLAN,PUBLICO,2019,6477
ZM DE MAZATLAN,PUBLICO,2020,6911
ZM DE MAZATLAN,PUBLICO,2021,6161
ZM DE MAZATLAN,PUBLICO,2022,7384
ZM DE MAZATLAN,PUBLICO,2023,7167
ZM DE MAZATLAN,PUBLICO,2024,7409
ZM DE MERIDA,PRIVADO,2014,9104
ZM DE MERIDA,PRIVADO,2015,9519
ZM DE MERIDA,PRIVADO,2016,9557
ZM DE MERIDA,PRIVADO,2017,10523
ZM DE MERIDA,PRIVADO,2018,12030
ZM DE MERIDA,PRIVADO,2019,13512
ZM DE MERIDA,PRIVADO,2020,11256
ZM DE MERIDA,PRIVADO,2021,13498
ZM DE MERIDA,PRIVADO,2022,12587
ZM DE MERIDA,PRIVADO,2023,12579
ZM DE MERIDA,PRIVADO,2024,10952
ZM DE MERIDA,PUBLICO,2014,6089
ZM DE MERIDA,PUBLICO,2015,6270
ZM DE MERIDA,PUBLICO,2016,6403
ZM DE MERIDA,PUBLICO,2017,6451
ZM DE MERIDA,PUBLICO,2018,6448
ZM DE MERIDA,PUBLICO,2019,6500
ZM DE MERIDA,PUBLICO,2020,6706
ZM DE MERIDA,PUBLICO,2021,6437
ZM DE MERIDA,PUBLICO,2022,6795
ZM DE MERIDA,PUBLICO,2023,6794
ZM DE MERIDA,PUBLICO,2024,8076
ZM DE MEXICALI,PRIVADO,2014,3256
ZM DE MEXICALI,PRIVADO,2015,3622
ZM DE MEXICALI,PRIVADO,2016,3755
ZM DE MEXICALI,PRIVADO,2017,3811
ZM DE MEXICALI,PRIVADO,2018,3870
ZM DE MEXICALI,PRIVADO,2019,4487
ZM DE MEXICALI,PRIVADO,2020,3506
ZM DE MEXICALI,PRIVADO,2021,4450
ZM DE MEXICALI,PRIVADO,2022,4504
ZM DE MEXICALI,PRIVADO,2023,4187
ZM DE MEXICALI,PRIVADO,2024,4110
ZM DE MEXICALI,PUBLICO,2014,5577
ZM DE MEXICALI,PUBLICO,2015,5868
ZM DE MEXICALI,PUBLICO,2016,5665
ZM DE MEXICALI,PUBLICO,2017,5332
ZM DE MEXICALI,PUBLICO,2018,5332
ZM DE MEXICALI,PUBLICO,2019,5348
ZM DE MEXICALI,PUBLICO,2020,5340
ZM DE MEXICALI,PUBLICO,2021,5402
ZM DE MEXICALI,PUBLICO,2022,5586
ZM DE MEXICALI,PUBLICO,2023,5490
ZM DE MEXICALI,PUBLICO,2024,6218
ZM DE MINATITLAN,PRIVADO,2014,641
ZM DE MINATITLAN,PRIVADO,2015,793
ZM DE MINATITLAN,PRIVADO,2016,668
ZM DE MINATITLAN,PRIVADO,2017,681
ZM DE MINATITLAN,PRIVADO,2018,794
ZM DE MINATITLAN,PRIVADO,2019,755
ZM DE MINATITLAN,PRIVADO,2020,578
ZM DE MINATITLAN,PRIVADO,2021,619
ZM DE MINATITLAN,PRIVADO,2022,673
ZM DE MINATITLAN,PRIVADO,2023,731
ZM DE MINATITLAN,PRIVADO,2024,658
ZM DE MINATITLAN,PUBLICO,2014,1278
ZM DE MINATITLAN,PUBLICO,2015,1221
ZM DE MINATITLAN,PUBLICO,2016,1222
ZM DE MINATITLAN,PUBLICO,2017,1481
ZM DE MINATITLAN,PUBLICO,2018,1546
ZM DE MINATITLAN,PUBLICO,2019,1544
ZM DE MINATITLAN,PUBLICO,2020,1333
ZM DE MINATITLAN,PUBLICO,2021,1309
ZM DE MINATITLAN,PUBLICO,2022,1427
ZM DE MINATITLAN,PUBLICO,2023,1263
ZM DE MINATITLAN,PUBLICO,2024,1313
ZM DE MONCLOVA-FRONTERA,PRIVADO,2014,1123
ZM DE MONCLOVA-FRONTERA,PRIVADO,2015,1146
ZM DE MONCLOVA-FRONTERA,PRIVADO,2016,1387
ZM DE MONCLOVA-FRONTERA,PRIVADO,2017,1373
ZM DE MONCLOVA-FRONTERA,PRIVADO,2018,1421
ZM DE MONCLOVA-FRONTERA,PRIVADO,2019,1449
ZM DE MONCLOVA-FRONTERA,PRIVADO,2020,1488
ZM DE MONCLOVA-FRONTERA,PRIVADO,2021,1660
ZM DE MONCLOVA-FRONTERA,PRIVADO,2022,1990
ZM DE MONCLOVA-FRONTERA,PRIVADO,2023,1775
ZM DE MONCLOVA-FRONTERA,PRIVADO,2024,1910
ZM DE MONCLOVA-FRONTERA,PUBLICO,2014,2286
ZM DE MONCLOVA-FRONTERA,PUBLICO,2015,2444
ZM DE MONCLOVA-FRONTERA,PUBLICO,2016,2640
ZM DE MONCLOVA-FRONTERA,PUBLICO,2017,2229
ZM DE MONCLOVA-FRONTERA,PUBLICO,2018,2759
ZM DE MONCLOVA-FRONTERA,PUBLICO,2019,2733
ZM DE MONCLOVA-FRONTERA,PUBLICO,2020,2428
ZM DE MONCLOVA-FRONTERA,PUBLICO,2021,2606
ZM DE MONCLOVA-FRONTERA,PUBLICO,2022,2773
ZM DE MONCLOVA-FRONTERA,PUBLICO,2023,2606
ZM DE MONCLOVA-FRONTERA,PUBLICO,2024,2298
ZM DE MONTERREY,PRIVADO,2014,15029
ZM DE MONTERREY,PRIVADO,2015,19442
ZM DE MONTERREY,PRIVADO,2016,16946
ZM DE MONTERREY,PRIVADO,2017,16718
ZM DE MONTERREY,PRIVADO,2018,21687
ZM DE MONTERREY,PRIVADO,2019,22391
ZM DE MONTERREY,PRIVADO,2020,19704
ZM DE MONTERREY,PRIVADO,2021,22897
ZM DE MONTERREY,PRIVADO,2022,24358
ZM DE MONTERREY,PRIVADO,2023,24646
ZM DE MONTERREY,PRIVADO,2024,25639
ZM DE MONTERREY,PUBLICO,2014,19998
ZM DE MONTERREY,PUBLICO,2015,21028
ZM DE MONTERREY,PUBLICO,2016,23870
ZM DE MONTERREY,PUBLICO,2017,24827
ZM DE MONTERREY,PUBLICO,2018,27445
ZM DE MONTERREY,PUBLICO,2019,27663
ZM DE MONTERREY,PUBLICO,2020,33496
ZM DE MONTERREY,PUBLICO,2021,27903
ZM DE MONTERREY,PUBLICO,2022,26643
ZM DE MONTERREY,PUBLICO,2023,28274
ZM DE MONTERREY,PUBLICO,2024,29386
ZM DE MORELIA,PRIVADO,2014,3114
ZM DE MORELIA,PRIVADO,2015,3567
ZM DE MORELIA,PRIVADO,2016,3992
ZM DE MORELIA,PRIVADO,2017,4575
ZM DE MORELIA,PRIVADO,2018,5304
ZM DE MORELIA,PRIVADO,2019,4892
ZM DE MORELIA,PRIVADO,2020,5125
ZM DE MORELIA,PRIVADO,2021,5622
ZM DE MORELIA,PRIVADO,2022,6277
ZM DE MORELIA,PRIVADO,2023,5079
ZM DE MORELIA,PRIVADO,2024,5961
ZM DE MORELIA,PUBLICO,2014,12265
ZM DE MORELIA,PUBLICO,2015,13635
ZM DE MORELIA,PUBLICO,2016,13372
ZM DE MORELIA,PUBLICO,2017,14289
ZM DE MORELIA,PUBLICO,2018,13368
ZM DE MORELIA,PUBLICO,2019,13589
ZM DE MORELIA,PUBLICO,2020,14285
ZM DE MORELIA,PUBLICO,2021,14918
ZM DE MORELIA,PUBLICO,2022,15896
ZM DE MORELIA,PUBLICO,2023,15099
ZM DE MORELIA,PUBLICO,2024,14640
ZM DE MOROLEON-URIANGATO,PRIVADO,2014,187
ZM DE MOROLEON-URIANGATO,PRIVADO,2015,286
ZM DE MOROLEON-URIANGATO,PRIVADO,2016,287
ZM DE MOROLEON-URIANGATO,PRIVADO,2017,288
ZM DE MOROLEON-URIANGATO,PRIVADO,2018,481
ZM DE MOROLEON-URIANGATO,PRIVADO,2019,458
ZM DE MOROLEON-URIANGATO,PRIVADO,2020,507
ZM DE MOROLEON-URIANGATO,PRIVADO,2021,369
ZM DE MOROLEON-URIANGATO,PRIVADO,2022,550
ZM DE MOROLEON-URIANGATO,PRIVADO,2023,502
ZM DE MOROLEON-URIANGATO,PRIVADO,2024,528
ZM DE MOROLEON-URIANGATO,PUBLICO,2014,314
ZM DE MOROLEON-URIANGATO,PUBLICO,2015,376
ZM DE MOROLEON-URIANGATO,PUBLICO,2016,508
ZM DE MOROLEON-URIANGATO,PUBLICO,2017,467
ZM DE MOROLEON-URIANGATO,PUBLICO,2018,419
ZM DE MOROLEON-URIANGATO,PUBLICO,2019,453
ZM DE MOROLEON-URIANGATO,PUBLICO,2020,507
ZM DE MOROLEON-URIANGATO,PUBLICO,2021,371
ZM DE MOROLEON-URIANGATO,PUBLICO,2022,396
ZM DE MOROLEON-URIANGATO,PUBLICO,2023,364
ZM DE MOROLEON-URIANGATO,PUBLICO,2024,323
ZM DE NOGALES,PRIVADO,2014,300
ZM DE NOGALES,PRIVADO,2015,599
ZM DE NOGALES,PRIVADO,2016,544
ZM DE NOGALES,PRIVADO,2017,387
ZM DE NOGALES,PRIVADO,2018,495
ZM DE NOGALES,PRIVADO,2019,587
ZM DE NOGALES,PRIVADO,2020,397
ZM DE NOGALES,PRIVADO,2021,777
ZM DE NOGALES,PRIVADO,2022,1035
ZM DE NOGALES,PRIVADO,2023,848
ZM DE NOGALES,PRIVADO,2024,1098
ZM DE NOGALES,PUBLICO,2014,1818
ZM DE NOGALES,PUBLICO,2015,1969
ZM DE NOGALES,PUBLICO,2016,2071
ZM DE NOGALES,PUBLICO,2017,2092
ZM DE NOGALES,PUBLICO,2018,2151
ZM DE NOGALES,PUBLICO,2019,2690
ZM DE NOGALES,PUBLICO,2020,2029
ZM DE NOGALES,PUBLICO,2021,1716
ZM DE NOGALES,PUBLICO,2022,1864
ZM DE NOGALES,PUBLICO,2023,2216
ZM DE NOGALES,PUBLICO,2024,2046
ZM DE NUEVO LAREDO,PRIVADO,2014,435
ZM DE NUEVO LAREDO,PRIVADO,2015,615
ZM DE NUEVO LAREDO,PRIVADO,2016,746
ZM DE NUEVO LAREDO,PRIVADO,2017,741
ZM DE NUEVO LAREDO,PRIVADO,2018,844
ZM DE NUEVO LAREDO,PRIVADO,2019,1113
ZM DE NUEVO LAREDO,PRIVADO,2020,726
ZM DE NUEVO LAREDO,PRIVADO,2021,1150
ZM DE NUEVO LAREDO,PRIVADO,2022,1353
ZM DE NUEVO LAREDO,PRIVADO,2023,1129
ZM DE NUEVO LAREDO,PRIVADO,2024,1349
ZM DE NUEVO LAREDO,PUBLICO,2014,2572
ZM DE NUEVO LAREDO,PUBLICO,2015,2524
ZM DE NUEVO LAREDO,PUBLICO,2016,2505
ZM DE NUEVO LAREDO,PUBLICO,2017,2539
ZM DE NUEVO LAREDO,PUBLICO,2018,2722
ZM DE NUEVO LAREDO,PUBLICO,2019,2938
ZM DE NUEVO LAREDO,PUBLICO,2020,2418
ZM DE NUEVO LAREDO,PUBLICO,2021,2381
ZM DE NUEVO LAREDO,PUBLICO,2022,2396
ZM DE NUEVO LAREDO,PUBLICO,2023,2935
ZM DE NUEVO LAREDO,PUBLICO,2024,3200
ZM DE OAXACA,PRIVADO,2014,3495
ZM DE OAXACA,PRIVADO,2015,3230
ZM DE OAXACA,PRIVADO,2016,3137
ZM DE OAXACA,PRIVADO,2017,3069
ZM DE OAXACA,PRIVADO,2018,3725
ZM DE OAXACA,PRIVADO,2019,3981
ZM DE OAXACA,PRIVADO,2020,3487
ZM DE OAXACA,PRIVADO,2021,4176
ZM DE OAXACA,PRIVADO,2022,4918
ZM DE OAXACA,PRIVADO,2023,4545
ZM DE OAXACA,PRIVADO,2024,5786
ZM DE OAXACA,PUBLICO,2014,7248
ZM DE OAXACA,PUBLICO,2015,7462
ZM DE OAXACA,PUBLICO,2016,6833
ZM DE OAXACA,PUBLICO,2017,6621
ZM DE OAXACA,PUBLICO,2018,6103
ZM DE OAXACA,PUBLICO,2019,6816
ZM DE OAXACA,PUBLICO,2020,6406
ZM DE OAXACA,PUBLICO,2021,6890
ZM DE OAXACA,PUBLICO,2022,6433
ZM DE OAXACA,PUBLICO,2023,7088
ZM DE OAXACA,PUBLICO,2024,7639
ZM DE OCOTLAN,PRIVADO,2014,100
ZM DE OCOTLAN,PRIVADO,2015,98
ZM DE OCOTLAN,PRIVADO,2016,80
ZM DE OCOTLAN,PRIVADO,2017,77
ZM DE OCOTLAN,PRIVADO,2018,179
ZM DE OCOTLAN,PRIVADO,2019,172
ZM DE OCOTLAN,PRIVADO,2020,190
ZM DE OCOTLAN,PRIVADO,2021,167
ZM DE OCOTLAN,PRIVADO,2022,318
ZM DE OCOTLAN,PRIVADO,2023,266
ZM DE OCOTLAN,PRIVADO,2024,381
ZM DE OCOTLAN,PUBLICO,2014,1030
ZM DE OCOTLAN,PUBLICO,2015,1004
ZM DE OCOTLAN,PUBLICO,2016,977
ZM DE OCOTLAN,PUBLICO,2017,1081
ZM DE OCOTLAN,PUBLICO,2018,1043
ZM DE OCOTLAN,PUBLICO,2019,1015
ZM DE OCOTLAN,PUBLICO,2020,1049
ZM DE OCOTLAN,PUBLICO,2021,996
ZM DE OCOTLAN,PUBLICO,2022,939
ZM DE OCOTLAN,PUBLICO,2023,894
ZM DE OCOTLAN,PUBLICO,2024,932
ZM DE ORIZABA,PRIVADO,2014,1028
ZM DE ORIZABA,PRIVADO,2015,1192
ZM DE ORIZABA,PRIVADO,2016,1250
ZM DE ORIZABA,PRIVADO,2017,1460
ZM DE ORIZABA,PRIVADO,2018,1761
ZM DE ORIZABA,PRIVADO,2019,1800
ZM DE ORIZABA,PRIVADO,2020,1589
ZM DE ORIZABA,PRIVADO,2021,1500
ZM DE ORIZABA,PRIVADO,2022,1782
ZM DE ORIZABA,PRIVADO,2023,1721
ZM DE ORIZABA,PRIVADO,2024,1968
ZM DE ORIZABA,PUBLICO,2014,3201
ZM DE ORIZABA,PUBLICO,2015,3114
ZM DE ORIZABA,PUBLICO,2016,3338
ZM DE ORIZABA,PUBLICO,2017,3253
ZM DE ORIZABA,PUBLICO,2018,3520
ZM DE ORIZABA,PUBLICO,2019,3663
ZM DE ORIZABA,PUBLICO,2020,3322
ZM DE ORIZABA,PUBLICO,2021,3144
ZM DE ORIZABA,PUBLICO,2022,3260
ZM DE ORIZABA,PUBLICO,2023,3533
ZM DE ORIZABA,PUBLICO,2024,3403
ZM DE PACHUCA,PRIVADO,2014,3612
ZM DE PACHUCA,PRIVADO,2015,3534
ZM DE PACHUCA,PRIVADO,2016,4269
ZM DE PACHUCA,PRIVADO,2017,4419
ZM DE PACHUCA,PRIVADO,2018,4803
ZM DE PACHUCA,PRIVADO,2019,4070
ZM DE PACHUCA,PRIVADO,2020,3234
ZM DE PACHUCA,PRIVADO,2021,3948
ZM DE PACHUCA,PRIVADO,2022,4202
ZM DE PACHUCA,PRIVADO,2023,4599
ZM DE PACHUCA,PRIVADO,2024,4225
ZM DE PACHUCA,PUBLICO,2014,5375
ZM DE PACHUCA,PUBLICO,2015,5560
ZM DE PACHUCA,PUBLICO,2016,6124
ZM DE PACHUCA,PUBLICO,2017,6285
ZM DE PACHUCA,PUBLICO,2018,6892
ZM DE PACHUCA,PUBLICO,2019,7353
ZM DE PACHUCA,PUBLICO,2020,7147
ZM DE PACHUCA,PUBLICO,2021,6902
ZM DE PACHUCA,PUBLICO,2022,6342
ZM DE PACHUCA,PUBLICO,2023,6496
ZM DE PACHUCA,PUBLICO,2024,5997
ZM DE PIEDRAS NEGRAS,PRIVADO,2014,693
ZM DE PIEDRAS NEGRAS,PRIVADO,2015,612
ZM DE PIEDRAS NEGRAS,PRIVADO,2016,735
ZM DE PIEDRAS NEGRAS,PRIVADO,2017,728
ZM DE PIEDRAS NEGRAS,PRIVADO,2018,888
ZM DE PIEDRAS NEGRAS,PRIVADO,2019,959
ZM DE PIEDRAS NEGRAS,PRIVADO,2020,1087
ZM DE PIEDRAS NEGRAS,PRIVADO,2021,1220
ZM DE PIEDRAS NEGRAS,PRIVADO,2022,1315
ZM DE PIEDRAS NEGRAS,PRIVADO,2023,1152
ZM DE PIEDRAS NEGRAS,PRIVADO,2024,1028
ZM DE PIEDRAS NEGRAS,PUBLICO,2014,1316
ZM DE PIEDRAS NEGRAS,PUBLICO,2015,1345
ZM DE PIEDRAS NEGRAS,PUBLICO,2016,1564
ZM DE PIEDRAS NEGRAS,PUBLICO,2017,1501
ZM DE PIEDRAS NEGRAS,PUBLICO,2018,1613
ZM DE PIEDRAS NEGRAS,PUBLICO,2019,1792
ZM DE PIEDRAS NEGRAS,PUBLICO,2020,1827
ZM DE PIEDRAS NEGRAS,PUBLICO,2021,1472
ZM DE PIEDRAS NEGRAS,PUBLICO,2022,1304
ZM DE PIEDRAS NEGRAS,PUBLICO,2023,1448
ZM DE PIEDRAS NEGRAS,PUBLICO,2024,1492
ZM DE POZA RICA,PRIVADO,2014,1346
ZM DE POZA RICA,PRIVADO,2015,1260
ZM DE POZA RICA,PRIVADO,2016,1243
ZM DE POZA RICA,PRIVADO,2017,1330
ZM DE POZA RICA,PRIVADO,2018,1580
ZM DE POZA RICA,PRIVADO,2019,1482
ZM DE POZA RICA,PRIVADO,2020,1107
ZM DE POZA RICA,PRIVADO,2021,1196
ZM DE POZA RICA,PRIVADO,2022,1559
ZM DE POZA RICA,PRIVADO,2023,1373
ZM DE POZA RICA,PRIVADO,2024,1503
ZM DE POZA RICA,PUBLICO,2014,3109
ZM DE POZA RICA,PUBLICO,2015,3099
ZM DE POZA RICA,PUBLICO,2016,3133
ZM DE POZA RICA,PUBLICO,2017,2842
ZM DE POZA RICA,PUBLICO,2018,2991
ZM DE POZA RICA,PUBLICO,2019,3220
ZM DE POZA RICA,PUBLICO,2020,2936
ZM DE POZA RICA,PUBLICO,2021,2630
ZM DE POZA RICA,PUBLICO,2022,2789
ZM DE POZA RICA,PUBLICO,2023,2739
ZM DE POZA RICA,PUBLICO,2024,2723
ZM DE PUEBLA-TLAXCALA,PRIVADO,2014,25150
ZM DE PUEBLA-TLAXCALA,PRIVADO,2015,27158
ZM DE PUEBLA-TLAXCALA,PRIVADO,2016,27133
ZM DE PUEBLA-TLAXCALA,PRIVADO,2017,31367
ZM DE PUEBLA-TLAXCALA,PRIVADO,2018,34757
ZM DE PUEBLA-TLAXCALA,PRIVADO,2019,34764
ZM DE PUEBLA-TLAXCALA,PRIVADO,2020,24780
ZM DE PUEBLA-TLAXCALA,PRIVADO,2021,34375
ZM DE PUEBLA-TLAXCALA,PRIVADO,2022,35735
ZM DE PUEBLA-TLAXCALA,PRIVADO,2023,30470
ZM DE PUEBLA-TLAXCALA,PRIVADO,2024,32843
ZM DE PUEBLA-TLAXCALA,PUBLICO,2014,23007
ZM DE PUEBLA-TLAXCALA,PUBLICO,2015,24630
ZM DE PUEBLA-TLAXCALA,PUBLICO,2016,24695
ZM DE PUEBLA-TLAXCALA,PUBLICO,2017,26940
ZM DE PUEBLA-TLAXCALA,PUBLICO,2018,28110
ZM DE PUEBLA-TLAXCALA,PUBLICO,2019,29505
ZM DE PUEBLA-TLAXCALA,PUBLICO,2020,30344
ZM DE PUEBLA-TLAXCALA,PUBLICO,2021,30900
ZM DE PUEBLA-TLAXCALA,PUBLICO,2022,30282
ZM DE PUEBLA-TLAXCALA,PUBLICO,2023,30810
ZM DE PUEBLA-TLAXCALA,PUBLICO,2024,31057
ZM DE PUERTO VALLARTA,PRIVADO,2014,636
ZM DE PUERTO VALLARTA,PRIVADO,2015,751
ZM DE PUERTO VALLARTA,PRIVADO,2016,959
