ZONA METROPOLITANA,CONTROL,CICLO,PRIMER INGRESO
ZM DE CAMPECHE,PUBLICO,2022,2937
ZM DE CAMPECHE,PUBLICO,2023,3082
ZM DE CAMPECHE,PUBLICO,2024,3139
ZM DE CANCUN,PRIVADO,2014,2986
ZM DE CANCUN,PRIVADO,2015,3196
ZM DE CANCUN,PRIVADO,2016,3716
ZM DE CANCUN,PRIVADO,2017,4407
ZM DE CANCUN,PRIVADO,2018,4922
ZM DE CANCUN,PRIVADO,2019,5590
ZM DE CANCUN,PRIVADO,2020,4678
ZM DE CANCUN,PRIVADO,2021,5263
ZM DE CANCUN,PRIVADO,2022,4689
ZM DE CANCUN,PRIVADO,2023,4515
ZM DE CANCUN,PRIVADO,2024,4937
ZM DE CANCUN,PUBLICO,2014,3288
ZM DE CANCUN,PUBLICO,2015,3745
ZM DE CANCUN,PUBLICO,2016,3473
ZM DE CANCUN,PUBLICO,2017,3358
ZM DE CANCUN,PUBLICO,2018,3247
ZM DE CANCUN,PUBLICO,2019,3803
ZM DE CANCUN,PUBLICO,2020,3921
ZM DE CANCUN,PUBLICO,2021,4130
ZM DE CANCUN,PUBLICO,2022,4330
ZM DE CANCUN,PUBLICO,2023,4449
ZM DE CANCUN,PUBLICO,2024,4777
ZM DE CELAYA,PRIVADO,2014,2614
ZM DE CELAYA,PRIVADO,2015,3621
ZM DE CELAYA,PRIVADO,2016,3016
ZM DE CELAYA,PRIVADO,2017,2976
ZM DE CELAYA,PRIVADO,2018,3748
ZM DE CELAYA,PRIVADO,2019,3500
ZM DE CELAYA,PRIVADO,2020,2837
ZM DE CELAYA,PRIVADO,2021,2787
ZM DE CELAYA,PRIVADO,2022,3741
ZM DE CELAYA,PRIVADO,2023,3618
ZM DE CELAYA,PRIVADO,2024,3375
ZM DE CELAYA,PUBLICO,2014,3922
ZM DE CELAYA,PUBLICO,2015,4024
ZM DE CELAYA,PUBLICO,2016,4520
ZM DE CELAYA,PUBLICO,2017,4399
ZM DE CELAYA,PUBLICO,2018,5632
ZM DE CELAYA,PUBLICO,2019,5404
ZM DE CELAYA,PUBLICO,2020,5640
ZM DE CELAYA,PUBLICO,2021,4917
ZM DE CELAYA,PUBLICO,2022,4968
ZM DE CELAYA,PUBLICO,2023,4768
ZM DE CELAYA,PUBLICO,2024,5232
ZM DE CHETUMAL,PRIVADO,2014,367
ZM DE CHETUMAL,PRIVADO,2015,488
ZM DE CHETUMAL,PRIVADO,2016,870
ZM DE CHETUMAL,PRIVADO,2017,1009
ZM DE CHETUMAL,PRIVADO,2018,1234
ZM DE CHETUMAL,PRIVADO,2019,1447
ZM DE CHETUMAL,PRIVADO,2020,1029
ZM DE CHETUMAL,PRIVADO,2021,1000
ZM DE CHETUMAL,PRIVADO,2022,954
ZM DE CHETUMAL,PRIVADO,2023,791
ZM DE CHETUMAL,PRIVADO,2024,976
ZM DE CHETUMAL,PUBLICO,2014,2076
ZM DE CHETUMAL,PUBLICO,2015,2253
ZM DE CHETUMAL,PUBLICO,2016,2434
ZM DE CHETUMAL,PUBLICO,2017,2151
ZM DE CHETUMAL,PUBLICO,2018,1949
ZM DE CHETUMAL,PUBLICO,2019,2279
ZM DE CHETUMAL,PUBLICO,2020,2324
ZM DE CHETUMAL,PUBLICO,2021,2230
ZM DE CHETUMAL,PUBLICO,2022,2358
ZM DE CHETUMAL,PUBLICO,2023,2226
ZM DE CHETUMAL,PUBLICO,2024,2502
ZM DE CHIHUAHUA,PRIVADO,2014,1879
ZM DE CHIHUAHUA,PRIVADO,2015,2340
ZM DE CHIHUAHUA,PRIVADO,2016,2621
ZM DE CHIHUAHUA,PRIVADO,2017,2938
ZM DE CHIHUAHUA,PRIVADO,2018,2445
ZM DE CHIHUAHUA,PRIVADO,2019,2808
ZM DE CHIHUAHUA,PRIVADO,2020,2858
ZM DE CHIHUAHUA,PRIVADO,2021,3850
ZM DE CHIHUAHUA,PRIVADO,2022,3664
ZM DE CHIHUAHUA,PRIVADO,2023,3905
ZM DE CHIHUAHUA,PRIVADO,2024,5416
ZM DE CHIHUAHUA,PUBLICO,2014,8618
ZM DE CHIHUAHUA,PUBLICO,2015,9699
ZM DE CHIHUAHUA,PUBLICO,2016,9330
ZM DE CHIHUAHUA,PUBLICO,2017,8848
ZM DE CHIHUAHUA,PUBLICO,2018,8850
ZM DE CHIHUAHUA,PUBLICO,2019,9407
ZM DE CHIHUAHUA,PUBLICO,2020,9090
ZM DE CHIHUAHUA,PUBLICO,2021,8655
ZM DE CHIHUAHUA,PUBLICO,2022,8457
ZM DE CHIHUAHUA,PUBLICO,2023,8096
ZM DE CHIHUAHUA,PUBLICO,2024,8228
ZM DE CHILPANCINGO,PRIVADO,2014,594
ZM DE CHILPANCINGO,PRIVADO,2015,556
ZM DE CHILPANCINGO,PRIVADO,2016,375
ZM DE CHILPANCINGO,PRIVADO,2017,595
ZM DE CHILPANCINGO,PRIVADO,2018,1103
ZM DE CHILPANCINGO,PRIVADO,2019,1221
ZM DE CHILPANCINGO,PRIVADO,2020,611
ZM DE CHILPANCINGO,PRIVADO,2021,853
ZM DE CHILPANCINGO,PRIVADO,2022,887
ZM DE CHILPANCINGO,PRIVADO,2023,1357
ZM DE CHILPANCINGO,PRIVADO,2024,1577
ZM DE CHILPANCINGO,PUBLICO,2014,4361
ZM DE CHILPANCINGO,PUBLICO,2015,3947
ZM DE CHILPANCINGO,PUBLICO,2016,3728
ZM DE CHILPANCINGO,PUBLICO,2017,4151
ZM DE CHILPANCINGO,PUBLICO,2018,4039
ZM DE CHILPANCINGO,PUBLICO,2019,4151
ZM DE CHILPANCINGO,PUBLICO,2020,3909
ZM DE CHILPANCINGO,PUBLICO,2021,3898
ZM DE CHILPANCINGO,PUBLICO,2022,3616
ZM DE CHILPANCINGO,PUBLICO,2023,3866
ZM DE CHILPANCINGO,PUBLICO,2024,3770
ZM DE CIUDAD VICTORIA,PRIVADO,2014,949
ZM DE CIUDAD VICTORIA,PRIVADO,2015,908
ZM DE CIUDAD VICTORIA,PRIVADO,2016,871
ZM DE CIUDAD VICTORIA,PRIVADO,2017,1442
ZM DE CIUDAD VICTORIA,PRIVADO,2018,1533
ZM DE CIUDAD VICTORIA,PRIVADO,2019,2029
ZM DE CIUDAD VICTORIA,PRIVADO,2020,1695
ZM DE CIUDAD VICTORIA,PRIVADO,2021,1656
ZM DE CIUDAD VICTORIA,PRIVADO,2022,2007
ZM DE CIUDAD VICTORIA,PRIVADO,2023,2106
ZM DE CIUDAD VICTORIA,PRIVADO,2024,2231
ZM DE CIUDAD VICTORIA,PUBLICO,2014,3539
ZM DE CIUDAD VICTORIA,PUBLICO,2015,3601
ZM DE CIUDAD VICTORIA,PUBLICO,2016,3493
ZM DE CIUDAD VICTORIA,PUBLICO,2017,3679
ZM DE CIUDAD VICTORIA,PUBLICO,2018,3873
ZM DE CIUDAD VICTORIA,PUBLICO,2019,4284
ZM DE CIUDAD VICTORIA,PUBLICO,2020,3491
ZM DE CIUDAD VICTORIA,PUBLICO,2021,3303
ZM DE CIUDAD VICTORIA,PUBLICO,2022,3598
ZM DE CIUDAD VICTORIA,PUBLICO,2023,3568
ZM DE CIUDAD VICTORIA,PUBLICO,2024,3968
ZM DE COATZACOALCOS,PRIVADO,2014,2360
ZM DE COATZACOALCOS,PRIVADO,2015,2506
ZM DE COATZACOALCOS,PRIVADO,2016,2443
ZM DE COATZACOALCOS,PRIVADO,2017,2675
ZM DE COATZACOALCOS,PRIVADO,2018,2420
ZM DE COATZACOALCOS,PRIVADO,2019,2350
ZM DE COATZACOALCOS,PRIVADO,2020,1510
ZM DE COATZACOALCOS,PRIVADO,2021,3749
ZM DE COATZACOALCOS,PRIVADO,2022,1854
ZM DE COATZACOALCOS,PRIVADO,2023,1931
ZM DE COATZACOALCOS,PRIVADO,2024,1885
ZM DE COATZACOALCOS,PUBLICO,2014,3805
ZM DE COATZACOALCOS,PUBLICO,2015,3909
ZM DE COATZACOALCOS,PUBLICO,2016,3902
ZM DE COATZACOALCOS,PUBLICO,2017,3153
ZM DE COATZACOALCOS,PUBLICO,2018,3187
ZM DE COATZACOALCOS,PUBLICO,2019,3549
ZM DE COATZACOALCOS,PUBLICO,2020,2966
ZM DE COATZACOALCOS,PUBLICO,2021,3105
ZM DE COATZACOALCOS,PUBLICO,2022,3506
ZM DE COATZACOALCOS,PUBLICO,2023,3203
ZM DE COATZACOALCOS,PUBLICO,2024,3298
ZM DE COLIMA-VILLA DE ALVAREZ,PRIVADO,2014,1787
ZM DE COLIMA-VILLA DE ALVAREZ,PRIVADO,2015,1965
ZM DE COLIMA-VILLA DE ALVAREZ,PRIVADO,2016,1852
ZM DE COLIMA-VILLA DE ALVAREZ,PRIVADO,2017,1809
ZM DE COLIMA-VILLA DE ALVAREZ,PRIVADO,2018,1814
ZM DE COLIMA-VILLA DE ALVAREZ,PRIVADO,2019,2069
ZM DE COLIMA-VILLA DE ALVAREZ,PRIVADO,2020,1541
